Source,Url,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREITBART,https://www.breitbart.com/politics/2018/10/11/ocasio-cortez-pack-the-supreme-court-after-taking-back-congress-wh/,"Democratic-Socialist Alexandria Ocasio-Cortez believes Democrats should pack the Supreme Court with left-wing judges if they regain control of Congress and the White House.At a Brooklyn event earlier in the month, an audience member asked Ocasio-Cortez: ìI have a short question. If in a few months from now the Supreme Court looks likeóIím pretty scared itís going to, a court that would overturn Roe and make the president above the rule of law. What is to be done?îAccording to footage from the event that NTK Network obtained on Thursday, Ocasio-Cortez replied: ìI think that we take back the House, we take back the Senate, we take back the presidency, and we pack the Supreme Court of the United States of America.îLeft-wing activists have been demanding that Democrats become more aggressive when it comes to the Supreme Court after Brett Kavanaughís confirmation hearings and Democrats like Sen. Jeff Merkley (D-OR) have been referring to Supreme Court Justices Neil Gorsuch and Kavanaugh as ìillegitimate.îAfter Kavanaugh was sworn in as retiring Justice Anthony Kennedyís replacement on the Supreme Court, left-wing†law professors, editorial pages of left-wing and establishment media outlets, and even lawmakers like Rep. Ro Khanna (D-CA), who was the only sitting member of Congress to endorse Ocasio-Cortez before her shocking primary upset over Rep. Joe Crowley (D-NY), have been insisting that Democrats must seriously consider packing the Supreme Court the next time Democrats control all three branches of government.
					Politics2018 midterm electionsAlexandria Ocasio-CortezBrett KavanaughSupreme Court Justices				.Please let us know if you're having issues with commenting.SOCIALMOST POPULARFROM THE HOMEPAGECopyright © 2019 Breitbart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREITBART,https://www.breitbart.com/politics/2018/10/11/josh-hawley-noticeable-surge-in-anger-from-voters-after-kavanaugh-circus/,"Missouri Republican Senate Candidate Josh Hawley said this week that he has seen a ìnoticeable surge in anger among all votersî in the state after the Democrats tried to derail Brett Kavanaughís Supreme Court nomination.Hawley, the stateís attorney general, told ABCís ìPowerhouse Politicsî podcast that was released on Wednesday evening that ìpeople just cannot believe what happened with the Kavanaugh process.îìThereís a noticeable change in atmosphere here in the state and a noticeable surge in enthusiasm among Republican voters,î Hawley said on the podcast. ìBut also, I would say a noticeable surge in anger among all voters in my state.îHawley added that voters in Missouri just ìcanít believe the games that Senate Democrats played.îHawleyís race was the leading indicator when it came to how much of a boost the Kavanaugh confirmation circus would give Republican Senate candidates.In the days after Sen. Claire McCaskill (D-MO) announced that she would be voting against Kavanaugh, Hawley took a two-point lead over McCaskill in the polls.Hawley, according to a poll released last week by a pro-Hawley super PAC, has since expanded his lead to eight percentage points over McCaskill.ìThe way that they attempted to smear Justice Kavanaugh, what they did to Dr.[Christine Blasey] Ford to be treating her as collateral damage,î he added. ìI get asked about it at every stop, every day.î
					Midterm ElectionPolitics2018 midterm electionsBrett KavanaughClair McCaskillDonald TrumpJosh HawleyMissouri Senate				.Please let us know if you're having issues with commenting.SOCIALMOST POPULARFROM THE HOMEPAGECopyright © 2019 Breitbart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREITBART,https://www.breitbart.com/politics/2018/10/11/poll-majority-believe-trump-doing-good-job-keeping-promises-after-kavanaugh-confirmation/,"A majority of Americans believe President Donald Trump is doing a ìgood jobî keeping his campaign promises in a poll released days after Brett Kavanaugh was sworn in to replace retiring Justice Anthony Kennedy on the Supreme Court.According to a CNN poll released on Thursday afternoon, 52% of those surveyed believe Trump is doing a ìgood jobî keeping his 2016 campaign promises compared to 42% who believe he is doing a ìpoor job.î Another six percent had ìno opinion.îTrump fulfilled one of his most important campaign promises by appointing conservative Justices Neil Gorsuch and Kavanaugh to the Supreme Court. The president also promised to right Americaís terrible trade deals in 2016. And after Trump negotiated the new USMCA trade agreement, 43% now approve of how Trump is handling trade, an improvement of eight percentage points from last month.In addition, 51% of Americans approve of Trumpís handling of the economy while 53% believe the country is doing ìvery wellî or ìfairly well.îDuring his campaign speeches this week, Trump emphasized that under his administration, ìthe era of economic surrender is over.îìAfter years of rebuilding other nations, we are finally rebuilding our nation,î Trump said.One of Trumpís major 2020 reelection slogans will be ìpromises made, promises kept.îThe poll was conducted October 4-7 and has a margin of error of +/- 3.8 percentage points.
					Politics2020 presidential electionBrett KavanaughDonald TrumptradeUSMCA				.Please let us know if you're having issues with commenting.SOCIALMOST POPULARFROM THE HOMEPAGECopyright © 2019 Breitbart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREITBART,https://www.breitbart.com/politics/2018/10/11/jeff-merkley-doj-should-absolutely-pursue-felony-charges-against-kavanaugh-for-perjury/,"Sen. Jeff Merkley (D-OR), a potential 2020 presidential candidate, said this week that he will push for the Justice Department to ìpursue felony chargesî against Supreme Court Justice Brett Kavanaugh for lying to the Senate during his confirmation hearings.In an interview on The Interceptís ìDeconstructedî podcast that was released on Thursday, Merkley was asked what Democrats could do about Kavanaugh since they are not going to have 67 votes to impeach him in the near future.ìLetís start with the proposition that the Justice Department could, obviously under a different leader than President Trump, proceed to pursue felony charges against Brett Kavanaugh for perjury before the U.S. Senate,î Merkley said.When asked if he would be pushing for that, Merkley replied, ìAbsolutely.îMerkley further added that the Supreme Court is now ìthe most powerful legislative bodyî and declared that ìit is a legislative body controlled by and for the powerful rather than by and for the people.îRep. Jerry Nadler (D-NY), who is set to become the chair of the House Judiciary Committee if Democrats take back the House after November, recently said the House would further investigate the sexual assault allegations against Kavanaugh if Democrats are in charge next year.ìIt is not something we are eager to do,î Nadler reportedly said. ìBut the Senate having failed to do its proper constitutionally mandated job of advise and consent, we are going to have to do something to provide a check and balance, to protect the rule of law and to protect the legitimacy of one of our most important institutions.îMerkleyís comments further reveal that Democrats are not going to let Kavanaughís confirmation go and offer a preview of what Democrats could try to do if they end up controlling all three branches of government after the 2020 elections.
					PoliticsBrett KavanaughDonald TrumpJeff Merkley				.Please let us know if you're having issues with commenting.SOCIALMOST POPULARFROM THE HOMEPAGECopyright © 2019 Breitbart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREITBART,https://www.breitbart.com/tech/2018/10/11/law-students-organize-nationwide-3-day-walkout-over-brett-kavanaugh/,"Law students around the country are skipping class this week to protest Brett Kavanaughís confirmation to the Supreme Court.Law students around the country are in the middle of a three-day walkout protest over Brett Kavanaughís confirmation to the Supreme Court of the United States. Starting on Wednesday, students at law schools around the country walked out of their classrooms at 2:15 p.m. with the intention of returning on Monday morning. The students believe their protest will encourage congressional†candidates to announce their commitment to impeaching recently confirmed Supreme Court Justice Brett Kavanaugh.Students at the law schools at American University, Duke University, Emory University, Georgetown University, New York University, and Temple University have signed on to participate in the protest.In an open letter on the StrikeAgainstKavanaugh.com, student organizers say that they donít believe Brett Kavanaugh is a ìlegitimateî Supreme Court justice. The letter makes an unusual tie-in to Americaís history of brutality against Native Americans.We are in the middle of a national emergency. Brett Kavanaugh has been confirmed to the Supreme Court. We cannot accept a system that empowers a man who repeatedly lied under oath and a judiciary review process that only performs a sham of an investigation into his misconduct.†We do not recognize Kavanaugh as a legitimate member of the United States Supreme Court.As we announce this strike on Indigenous Peoplesí Day, we recognize the ongoing harm indigenous people have suffered under the American legal system. The United States was borne out of conquest of indigenous people by European colonizers whose descendants became this countryís founders. Since the Supreme Courtís first case involving indigenous rights,†the Court has heard hundreds of cases and it has been grossly unjust to indigenous plaintiffs and defendants. Later this term, the Court † could curtail the hunting rights of the Crow Tribes, rights which are ìcentral to [the] Tribesí subsistence, economy, culture, spiritual life, and day-to-day existence.î We do not believe that Kavanaugh will be a champion for indigenous peoplesí rights, and fear the worst for the indigenous communities who have already faced so much harm from the Court.A local news report from Wednesday revealed that students at Ohio State Universityís law school walked out of their classrooms at 11:10 a.m. to protest Kavanaughís confirmation. Students told reporters that they believed that Dr. Fordís allegations were not taken seriously by members of Congress. Some said that they participated in the protest to bring attention to the ever-present issue of sexual assault.
					EducationSocial JusticeTechAcademic InsanityBrett Kavanaughlaw school				.Please let us know if you're having issues with commenting.SOCIALMOST POPULARFROM THE HOMEPAGECopyright © 2019 Breitbart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREITBART,https://www.breitbart.com/politics/2018/10/11/mike-braun-hammers-joe-donnelly-for-hillary-clinton-support-opposition-to-brett-kavanaugh/,"Hoosier businessman Mike Braun slammed Sen. Joe Donnelly (D-IN) in a campaign ad released Thursday for supporting Hillary Clinton. He also took issue†with his opposition to confirming Judge Brett Kavanaugh to the Supreme Court.Braun, the Indiana Senate Republican candidate, released a campaign ad hammering the Hoosier Democrat for opposing Kavanaugh, supporting Obamaís Iran nuclear deal, outsourcing jobs to Mexico, and supporting Hillary Clinton during the 2016 presidential election.ìHillary for President? And Donnelly says heís for common sense? Sorry, Senator, youíre just not one of us. Youíre one of them,î the narrator in the ad said.ìHoosiers know itís not what you say, itís what youíve done: Senator Donnelly joined the extreme left in opposing Justice Kavanaugh, fell in line with President Obamaís dangerous Iran nuclear deal, profited from outsourcing Hoosier jobs to Mexico, and worked nonstop to elect Hillary Clinton,î said Braun in a press release on Thursday. ìDonnelly will say anything, but look at what heís done: heís not one of us, heís one of them.îDonnellyís opposition to Kavanaugh caused the Indiana†News-Sentinel†to publish an editorial urging Hoosier voters to vote ìnoî against the Indiana Democrat for another term in the U.S. Senate.Braunís new ad comes off the heels of an exclusive Breitbart News report which revealed that the Indiana GOP filed a Senate Ethics complaint over Donnellyís ìillegalî use of an official Neil Gorsuch photo in a campaign ad.Last year the Associated Press (AP) reported that while Sen. Donnelly criticized Carrier Corp. for moving manufacturing jobs to Mexico, he profited from a family business that relied on Mexican labor to produce dye for ink pads.Donnelly, during his first run for the House in 2004,†railed†against the North American Free Trade Agreement (NAFTA) and called ìoutsourcing,î ìa fancy term for ëSomeone in Indiana has just lost their job.îBraun†told†Breitbart News in an interview that in contrast to Donnelly, he hires exclusively in the United States and most of his suppliers for his business also come from America.The Indiana Senate race has become increasingly competitive; a Fox News poll found that Sen. Donnelly†leads†Braun by only two points, well within the surveyís margin of error.
					Midterm ElectionPoliticsBrett KavanaughHillary ClintonHoosiersIndiana GOPMike BraunSen. Joe Donnelly				.Please let us know if you're having issues with commenting.SOCIALMOST POPULARFROM THE HOMEPAGECopyright © 2019 Breitbart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREITBART,https://www.breitbart.com/politics/2018/10/11/indiana-news-sentinel-editorial-hoosiers-should-vote-against-joe-donnelly/,"The Indiana News-Sentinel published an editorial on Thursday urging Hoosiers to vote against Sen. Joe Donnelly (D-IN), citing his vote opposing Judge Kavanaugh for the Supreme Court.The News-Sentinel suggested that Donnelly would imperil his political future if he were to oppose President Donald Trumpís nominee to the Supreme Court; Donnelly voted against confirming Kavanaugh last Saturday despite polls showing an increasingly tight race between him and Hoosier businessman Mike Braun.The Hoosier paper also pointed out that despite Donnellyís vote against the presidentís nominee, during Mondayís debate against Braun and Libertarian candidate Lucy Brenton, he attempted to tie himself with Donald Trump.ìIt was clear in the televised, hour-long debate that Donnelly was hitching himself to the president as much as possible to assuage the concerns of Indianaís swing voters who may have voted for Trump in 2016,î the News-Sentinel wrote.ìI go against my party all the time,î Donnelly said in an attempt to rebuke Braunís attack that he follows Senate Minority Leader Chuck Schumerís (D-NY) marching orders. ìIíve been with the president 62 percent of the time.îHowever, the Hoosier paper notes that the same Congressional Quarterly report details how Donnelly also voted with the Democrat party 74 percent of the time, and another report notes that Donnelly voted with Schumer 85 percent of the time since 2013.During the debate, Braun said that a vote for Donnelly represents the status quo.ìIf you want more of the same. Joeís your guy,î Braun said.On Mondayís debate, the Hoosier Democrat said that he opposed Kavanaugh due to his alleged ìimpartiality and judicial temperament,î despite that Donnelly cites Christine Blasey Fordís sexual assault accusation against Kavanaugh as his primary concern. Donnelly said that Fordís testimony was ìdisturbing and credibleî and called on the FBI to investigate the accusation.ìDonnelly never mentioned the judgeís temperament or any issues of impartiality until after the FBIís report that there was nothing to substantiate Fordís claims,î the News-Sentinel explained.The Hoosier News-Sentinel contended that no matter the explanation, Sen. Donnelly, and most Senate Democrats, planned to vote against Kavanaugh to block a conservative majority on the Supreme Court and because of that, Hoosiers should vote against Donnelly in November.ìWe still believe Donnelly, like the vast majority of Democrats, was set on voting ìnoî against Kavanaugh no matter what in order to block a conservative majority on the court,î the Hoosier paper concluded. ìAnd for that, we still believe Indiana should vote ìnoî for another Donnelly term in Washington.î
					MediaMidterm ElectionPoliticsBrett KavanaughDonald TrumpHoosiersMike BraunSen. Joe DonnellySenate Democrats				.Please let us know if you're having issues with commenting.SOCIALMOST POPULARFROM THE HOMEPAGECopyright © 2019 Breitbart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREITBART,https://www.breitbart.com/entertainment/2018/10/11/sarah-silverman-rips-too-far-gone-white-women-who-voted-for-trump/,"Comedian Sarah Silverman attacked white women who voted for President Donald Trump in a new video from her Hulu series†I Love You, America.ìGod, I wish I could get through to the 52 percent of white women who put Trump in office, but theyíre too far gone, so instead I am looking to young people,î Sarah Silverman said.Silverman also went after Brett Kavanaugh, saying, ìIf I think of his frowny pink face and his Pert Plus hair one more time Iím gonna puke.îThe School of Rock actress then urged young people to vote, saying that if young people donít want to listen to her, they should at least listen to pop star Taylor Swift.ìYes, Taylorís a little late to the game and waited until the American leg of her tour was over to speak up but hey, better late than never, ever, getting back together, fuck, her songs are so catchy, look what you made me do.î the 47-year-old comedian said, referencing a number of songs by Taylor Swift.Swift made headlines for endorsing two Tennessee Democrats in an Instagram post this week.ìI believe in the fight for LGBTQ rights, and that any form of discrimination based on sexual orientation or gender is WRONG. I believe that the systemic racism we still see in this country towards people of color is terrifying, sickening and prevalent,î Swift wrote.ìI cannot vote for someone who will not be willing to fight for dignity for ALL Americans, no matter their skin color, gender or who they love.îSilverman has long been an outspoken progressive. Just last weekend, she posted a sickening tweet where she fantasized about President Trump being ìheld downî and violated.îI hope you someday understand what it is to be held down against your will and violated.  Your compassion is startless https://t.co/ujlTX8Wr9Xó Sarah Silverman (@SarahKSilverman) October 5, 2018ìI hope you someday understand what it is to be held down against your will and violated. Your compassion is startless,î she tweeted at President Trump.
					EntertainmentPoliticsTechBrett KavanaughDonald TrumpHuluSarah SilvermanTaylor Swift				.Please let us know if you're having issues with commenting.SOCIALMOST POPULARFROM THE HOMEPAGECopyright © 2019 Breitbart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREITBART,https://www.breitbart.com/clips/2018/10/11/scarborough-the-kavanaugh-hearings-were-a-disaster-for-the-democratic-party/,"Thursday on MSNBCís ìMorning Joe,î host Joe Scarborough reflected on Supreme Court Justice Brett Kavanaughís hearings, calling it a ìdisasterî for Democrats and a ìhuge bumpî for Republicans for the 2018 midterm elections.ìI see right now the Republicans getting a huge bump out of the Kavanaugh hearings,î Scarborough stated. ìI think a lot of Americans, especially a lot of Republicans, didnít like what they saw during those hearings coming from the Democratic side of the aisle.îHe later added, ì[B]oy, looking back, assessing what went on during the Kavanaugh hearings, there is no doubt, as somebody that studies branding, there is no doubt that at least for Senate candidates, the Kavanaugh hearings were a disaster for the Democratic party.îFollow Trent Baker on Twitter†@MagnifiTrent
					ClipsMidterm ElectionBrett KavanaughJoe ScarboroughMorning JoeMSNBC				.Please let us know if you're having issues with commenting.SOCIALMOST POPULARFROM THE HOMEPAGECopyright © 2019 Breitbart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREITBART,https://www.breitbart.com/politics/2018/10/11/christine-blasey-ford-nominated-for-distinguished-alumna-award-at-unc/,"An English professor at the University of North Carolina (UNC) at Chapel Hill has nominated Christine Blasey Ford for a distinguished-alumna award for ìspeaking truth to power.îProfessor Jennifer Ho said†in her letter†of nomination that ìwhat Dr. Blasey Ford did on September 27, 2018 was something that was extraordinary in how ordinary it was: she told the truth about a sexual assault she experienced when she was fifteen years old at the hands of Judge Brett Kavanaugh.îìShe made a statement and then answered questions for over three hours in front of a Senate Judiciary Committee with the cameras of the world trained on her,î Ho said.Ford earned†an undergraduate degree in Experimental Psychology in 1988 at UNC.ìDr. Blasey Ford talked about how the first few years at Carolina were difficult for her†ñ that her attack at the age of fifteen had lasting implications,î Ho wrote.In her letter, Ho said her words are ìnot about partisan politics,î but about how ìspeaking oneís truthî is ìan act of bravery.îìWe live in a society that does not believe women,î the professor said.†ìThe many indignities that women experience in their day-to-day lives is proof of this, as is the continued attacks on Dr. Blasey Ford after her testimony.îHo said that Ford is ìan inspiration for so many of us,î and that Kavanaughís accuser ìspoke clearly and precisely about her experiences with trauma, educating the committee and the rest of us about the way certain memories are encoded in the hippocampus when we experience traumatic events.îHo also described Ford ñ a psychology professor at Palo Alto University in California ñ as showing ìno evidence of avoidance or defensivenessî in her testimony and asserting to the Senate Judiciary Committee that ìshe is no oneís pawn.îìBy awarding Dr. Christine Blasey Ford as a distinguished alumna, UNC Chapel Hill sends a message to her, to our students, faculty, and staff, and to the larger community of the US and that world that we believe her,î Ho concluded, ìthat UNC Chapel Hill believes survivors of sexual assault.î†
					PoliticsSocial JusticeBrett Kavanaughchapel hillChristine Blasey FordExperimental PsychologyPalo Alto UniversityProfessor Jennifer HoUniversity of North Carolina				.Please let us know if you're having issues with commenting.SOCIALMOST POPULARFROM THE HOMEPAGECopyright © 2019 Breitbart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
